House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_DR_kW,Kitchen_kW,AC_BR_kW,AC_LR_kW,AC_MBR_kW
House4,2018-06-01 17:00:00,2.689963333333333,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0011749999999999994,0.3792666666666667,0.9018483333333333,0.009013333333333337,0.43554166666666666
House4,2018-06-01 18:00:00,3.815216666666665,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0012366666666666665,0.4279783333333333,0.5641383333333333,0.008318333333333337,1.2936566666666671
House4,2018-06-01 19:00:00,3.0268150000000005,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0011800000000000005,0.4605400000000001,0.007413333333333332,0.5202883333333332,0.6916216666666666
House4,2018-06-01 20:00:00,3.086005,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0008483333333333331,0.4608816666666666,0.010176666666666662,1.5785816666666663,0.011385
House4,2018-06-01 21:00:00,3.653675,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0009599999999999998,0.4604683333333331,0.16014333333333333,1.4032266666666666,0.012143333333333329
House4,2018-06-01 22:00:00,4.276529999999998,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0014783333333333328,0.4390949999999999,0.6719616666666666,0.1245716666666668,1.0102350000000002
House4,2018-06-01 23:00:00,3.5240183333333315,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0014649999999999995,0.3852116666666666,0.6305183333333333,0.009073333333333329,0.8279049999999999
House4,2018-06-02 00:00:00,3.3960183333333345,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015516666666666671,0.373,0.6269416666666665,0.009126666666666672,0.8270350000000001
House4,2018-06-02 01:00:00,3.500615000000001,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015533333333333328,0.4252383333333333,0.6250833333333332,0.008978333333333336,0.8215766666666668
House4,2018-06-02 02:00:00,3.3567716666666683,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0016649999999999985,0.4535383333333332,0.6080383333333335,0.008871666666666663,0.7934666666666665
House4,2018-06-02 03:00:00,3.188066666666665,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0017116666666666671,0.4248683333333333,0.5888133333333333,0.008831666666666666,0.7342716666666668
House4,2018-06-02 04:00:00,2.9149533333333326,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0014533333333333332,0.3989266666666667,0.5844666666666665,0.008943333333333336,0.5929266666666665
House4,2018-06-02 05:00:00,2.8121616666666664,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.001485,0.3817599999999999,0.5837083333333333,0.009038333333333336,0.5800700000000003
House4,2018-06-02 06:00:00,2.6766783333333333,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.001495,0.3562083333333336,0.5861816666666667,0.009005000000000006,0.5805700000000003
House4,2018-06-02 07:00:00,2.72539,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0013999999999999991,0.3735950000000001,0.5980600000000003,0.00893333333333334,0.5998549999999999
House4,2018-06-02 08:00:00,2.4489283333333343,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015633333333333322,0.3912850000000001,0.2456683333333336,0.008176666666666657,0.607
House4,2018-06-02 09:00:00,2.763075,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0017466666666666652,0.39271666666666666,0.006769999999999993,0.00772999999999999,0.8920750000000001
House4,2018-06-02 10:00:00,0.4015649999999994,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0003233333333333334,0.0651633333333333,0.001401666666666669,0.0016116666666666688,0.19048166666666694
House4,2018-06-02 11:00:00,1.8164483333333337,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.00154,0.39605833333333335,0.005716666666666666,0.003025000000000001,0.14500999999999992
House4,2018-06-02 12:00:00,1.8700633333333336,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0023266666666666657,0.4414883333333332,0.007453333333333334,0.004121666666666666,0.010078333333333332
House4,2018-06-02 13:00:00,0.4084200000000003,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0005316666666666666,0.08566499999999999,0.0017600000000000024,0.0009633333333333356,0.002288333333333338
House4,2018-06-02 14:00:00,1.9545950000000003,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0011966666666666668,0.3880616666666666,0.3442283333333333,0.0030583333333333326,0.008451666666666666
House4,2018-06-02 15:00:00,3.183896666666666,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0016500000000000002,0.42748833333333336,1.1029349999999996,0.0055566666666666716,0.012361666666666665
House4,2018-06-02 16:00:00,1.364675,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.000636666666666667,0.2409783333333333,0.4361599999999996,0.002700000000000001,0.006041666666666668
House4,2018-06-02 17:00:00,2.4793383333333323,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0007099999999999995,0.403965,0.9584533333333332,0.2752683333333333,0.012073333333333335
House4,2018-06-02 18:00:00,4.5789,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.00029499999999999985,0.4866166666666666,0.8778650000000001,1.7829299999999997,0.01368333333333333
House4,2018-06-02 19:00:00,3.998921666666667,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0008233333333333333,0.4628949999999999,0.2417916666666665,1.7425266666666666,0.013318333333333343
House4,2018-06-02 20:00:00,3.36783,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0010216666666666666,0.42193166666666665,0.010338333333333338,1.6675483333333332,0.012701666666666672
House4,2018-06-02 21:00:00,4.514476666666667,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015349999999999984,0.4464366666666667,0.5551550000000002,0.6829650000000002,0.70262
House4,2018-06-02 22:00:00,3.664144999999998,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0013449999999999998,0.3563749999999997,0.7284349999999996,0.005049999999999996,0.7154466666666662
House4,2018-06-02 23:00:00,1.97277,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0005833333333333336,0.2634216666666667,0.3553900000000001,0.0027900000000000004,0.4221083333333333
House4,2018-06-03 00:00:00,3.7620966666666673,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0017233333333333337,0.3891883333333335,0.5973266666666669,0.005658333333333332,0.8144433333333336
House4,2018-06-03 01:00:00,3.516328333333333,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.001666666666666665,0.41667166666666666,0.5946466666666664,0.0056849999999999965,0.7999416666666667
House4,2018-06-03 02:00:00,2.9071783333333334,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0016450000000000006,0.4559416666666667,0.609535,0.0056316666666666616,0.36565166666666665
House4,2018-06-03 03:00:00,2.807399999999999,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015850000000000007,0.4303116666666666,0.6128533333333331,0.005626666666666667,0.3244316666666667
House4,2018-06-03 04:00:00,3.3348083333333327,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0014199999999999998,0.40304333333333336,0.6005783333333335,0.005568333333333331,0.9322950000000001
House4,2018-06-03 05:00:00,2.977091666666667,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.001458333333333333,0.3888699999999999,0.5947733333333336,0.005530000000000001,0.7563316666666666
House4,2018-06-03 06:00:00,2.8111800000000007,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015399999999999995,0.3620066666666665,0.6005350000000002,0.005513333333333333,0.6305916666666669
House4,2018-06-03 07:00:00,2.92096,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0012683333333333331,0.3700533333333335,0.60934,0.005511666666666668,0.6354333333333334
House4,2018-06-03 08:00:00,2.975495,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0011983333333333336,0.3961533333333334,0.6116600000000002,0.0055933333333333295,0.6412099999999998
House4,2018-06-03 09:00:00,2.544045,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0016566666666666663,0.3951099999999999,0.18002333333333329,0.004848333333333331,0.6608700000000003
House4,2018-06-03 10:00:00,1.3733533333333334,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0017749999999999988,0.4234683333333332,0.0055633333333333325,0.004268333333333332,0.17086666666666647
House4,2018-06-03 11:00:00,1.357886666666667,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.001988333333333334,0.4270149999999999,0.0056683333333333325,0.004321666666666671,0.01084166666666667
House4,2018-06-03 12:00:00,1.2898250000000009,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0019933333333333344,0.4083283333333333,0.005626666666666664,0.004108333333333333,0.010496666666666672
