House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_DNR_kW,Kitchen_kW
House33,2018-06-01 20:00:00,1.3995983333333335,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.08348,0.0016166666666666662,0.17366333333333334
House33,2018-06-01 21:00:00,1.6796716666666665,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.06953166666666664,0.03291499999999998,0.16969499999999998
House33,2018-06-01 22:00:00,1.7303016666666666,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.07516000000000002,0.03599166666666668,0.16300333333333336
House33,2018-06-01 23:00:00,1.695916666666667,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.07529166666666669,0.035961666666666656,0.15604333333333342
House33,2018-06-02 00:00:00,1.5512849999999998,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.06979999999999999,0.03040000000000003,0.15283499999999994
House33,2018-06-02 01:00:00,1.4224899999999996,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.06214833333333331,0.02859833333333335,0.12887500000000005
House33,2018-06-02 02:00:00,2.128275,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.11427666666666668,0.02612833333333336,0.092
House33,2018-06-02 03:00:00,1.6395083333333331,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.08148999999999999,0.02464166666666668,0.18958166666666668
House33,2018-06-02 04:00:00,1.154405,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.0531183333333333,0.020506666666666663,0.1777533333333334
House33,2018-06-02 05:00:00,1.147163333333333,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.05340000000000001,0.020108333333333332,0.17248333333333335
House33,2018-06-02 06:00:00,1.165875,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.0541766666666667,0.020215,0.16470833333333335
House33,2018-06-02 07:00:00,1.1476066666666669,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.053015,0.01939666666666667,0.15419166666666667
House33,2018-06-02 08:00:00,1.4241349999999997,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.06418499999999999,0.02197499999999998,0.16426333333333334
House33,2018-06-02 09:00:00,1.4368550000000002,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.06181000000000001,0.024870000000000003,0.09987666666666672
House33,2018-06-02 10:00:00,0.7713850000000002,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.03635666666666666,0.00595,0.13819166666666666
House33,2018-06-02 11:00:00,1.2868766666666671,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.05640000000000001,0.02135333333333333,0.154615
House33,2018-06-02 12:00:00,1.0630666666666668,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.04466833333333332,0.01845166666666667,0.07301833333333327
House33,2018-06-02 13:00:00,0.8222466666666667,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.03839,0.007795000000000002,0.15702333333333335
House33,2018-06-02 14:00:00,1.2174816666666666,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.05301333333333332,0.021523333333333332,0.15108666666666662
House33,2018-06-02 15:00:00,1.1651066666666672,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.04969500000000002,0.021476666666666658,0.10764666666666674
House33,2018-06-02 16:00:00,1.1236466666666665,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.047545,0.01993166666666667,0.092975
House33,2018-06-02 17:00:00,1.7368033333333333,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.098865,0.013626666666666669,0.18963333333333332
House33,2018-06-02 18:00:00,1.7733133333333333,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.11583000000000004,0.0025116666666666677,0.2289450000000001
