House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,W_AC_kW,UPS_kW
House20,2018-06-01 20:00:00,1.1057100000000006,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0005716666666666676,0.5123116666666664,0.5649999999999998
House20,2018-06-01 21:00:00,0.35592499999999994,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00025166666666666675,0.00021333333333333336,0.35294833333333325
House20,2018-06-01 22:00:00,0.5130850000000001,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0017033333333333332,0.00020333333333333333,0.5078333333333332
House20,2018-06-01 23:00:00,2.6419049999999995,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.852865,0.0018750000000000004,0.7983716666666667
House20,2018-06-02 00:00:00,2.4830716666666675,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.8360183333333329,0.0018483333333333325,0.6566883333333333
House20,2018-06-02 01:00:00,2.378111666666667,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.8261816666666668,0.0018099999999999995,0.561975
House20,2018-06-02 02:00:00,1.7871266666666676,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.9250716666666664,0.0009916666666666667,0.8647916666666671
House20,2018-06-02 03:00:00,1.3659399999999997,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.38909333333333335,0.0004799999999999999,0.967075
House20,2018-06-02 04:00:00,2.4727666666666672,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.7998799999999997,0.0017999999999999984,0.6796399999999998
House20,2018-06-02 05:00:00,2.361746666666668,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.773618333333334,0.0017016666666666651,0.5949983333333332
