House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,Laundary_kW,AC_LR_kW,AC_MBR_kW,Kitchen_kW
House29,2018-06-01 19:00:00,1.3282166666666668,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00026499999999999994,0.0011516666666666665,0.002076666666666666,0.11273666666666668
House29,2018-06-01 20:00:00,0.24146166666666666,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,2.0000000000000005e-05,0.0010616666666666667,0.001996666666666666,0.07578666666666665
House29,2018-06-01 21:00:00,0.31295166666666663,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,1.6666666666666667e-05,0.001146666666666667,0.0020783333333333326,0.1111366666666667
House29,2018-06-01 22:00:00,0.5043083333333332,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,4e-05,0.001178333333333334,0.0019200000000000005,0.12944833333333333
House29,2018-06-01 23:00:00,1.2041033333333333,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,5.333333333333334e-05,0.0014633333333333336,0.3936233333333332,0.15861166666666665
House29,2018-06-02 00:00:00,3.5651900000000003,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00021166666666666683,0.0026366666666666674,1.5211600000000003,0.21292
House29,2018-06-02 01:00:00,3.2595516666666664,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00019166666666666675,0.002633333333333332,1.4345366666666666,0.12348666666666668
House29,2018-06-02 02:00:00,3.113516666666667,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00017666666666666666,0.0025649999999999987,1.319325,0.16553333333333334
House29,2018-06-02 03:00:00,0.5329833333333334,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,1.6666666666666669e-06,0.001396666666666666,0.010363333333333332,0.17703833333333327
House29,2018-06-02 04:00:00,3.39447,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.0002000000000000001,0.002715,1.4854516666666662,0.14085166666666668
House29,2018-06-02 05:00:00,0.9084,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,4.3333333333333334e-05,0.0016266666666666669,0.2971000000000009,0.07829833333333333
House29,2018-06-02 06:00:00,2.0155666666666665,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00011499999999999992,0.002076666666666667,0.8800266666666666,0.08927333333333333
House29,2018-06-02 07:00:00,3.1817483333333336,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00020166666666666683,0.0024866666666666674,1.4823183333333334,0.09586333333333334
House29,2018-06-02 08:00:00,0.4663533333333329,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,2e-05,0.001206666666666667,0.14024666666666674,0.07645833333333332
House29,2018-06-02 09:00:00,3.3811600000000004,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00022666666666666666,0.0023766666666666663,1.3853883333333332,0.09708999999999997
