House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,UPS_kW,Non_UPS_kW
House11,2018-06-01 20:00:00,0.7275616666666668,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.006325000000000001,0.2545016666666667,0.4646366666666668
House11,2018-06-01 21:00:00,0.5452166666666668,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.005815000000000001,0.2853616666666667,0.2521683333333334
House11,2018-06-01 22:00:00,0.5710200000000001,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.006106666666666664,0.29945333333333324,0.2633816666666666
House11,2018-06-01 23:00:00,0.5807266666666668,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.006066666666666671,0.2625,0.3097383333333333
House11,2018-06-02 00:00:00,1.262355,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.5518916666666667,0.23694,0.4712233333333333
House11,2018-06-02 01:00:00,2.2099433333333334,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.7037483333333332,0.1997183333333334,0.3038883333333333
House11,2018-06-02 02:00:00,1.3188549999999999,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.8814033333333333,0.1721966666666667,0.26236
House11,2018-06-02 03:00:00,1.26905,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.8664016666666665,0.1535183333333334,0.24629666666666666
House11,2018-06-02 04:00:00,1.5020716666666662,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.1152533333333332,0.11431499999999994,0.27
House11,2018-06-02 05:00:00,1.4965533333333323,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.112443333333333,0.11471,0.26672500000000005
House11,2018-06-02 06:00:00,1.3570766666666665,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.0899049999999997,0.11299333333333332,0.15291333333333332
House11,2018-06-02 07:00:00,1.4710033333333337,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.1062500000000002,0.11875999999999998,0.2433650000000001
House11,2018-06-02 08:00:00,0.3869316666666667,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.006365000000000004,0.13920833333333332,0.239835
House11,2018-06-02 09:00:00,0.5709283333333334,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.0064300000000000026,0.14264333333333334,0.4201599999999999
House11,2018-06-02 10:00:00,0.5669933333333332,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.006359999999999997,0.2291650000000001,0.32920166666666656
House11,2018-06-02 11:00:00,0.6344383333333334,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.11554833333333335,0.22541166666666665,0.29102500000000003
House11,2018-06-02 12:00:00,2.2492916666666662,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.7192516666666662,0.19991833333333325,0.3283100000000001
House11,2018-06-02 13:00:00,0.916283333333333,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.4982533333333332,0.2024883333333332,0.21292
House11,2018-06-02 14:00:00,1.4747833333333336,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.0292766666666666,0.2546066666666667,0.188115
House11,2018-06-02 15:00:00,0.7405416666666667,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.4140099999999998,0.1240833333333333,0.19989000000000007
House11,2018-06-02 16:00:00,0.9218933333333336,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.4180233333333333,0.14190166666666662,0.3598283333333333
House11,2018-06-02 17:00:00,2.1155150000000007,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.755931666666666,0.14845166666666668,0.20832333333333344
