House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,WP_kW,Kitchen_kW,AC_kW,AC_kW.1
House36,2018-06-01 00:00:00,1.7144733333333333,5989.51,2,2005,12.0,Yes,11,5.0,2.0,2.0,2.0,3 phase,3,1,0,2,3,0,5,4,1,15,12,1,2,1,65,1,0.00349333333333333,0.29825999999999997,0.05600333333333332,0.226125
House36,2018-06-01 01:00:00,0.8764966666666666,5989.51,2,2005,12.0,Yes,11,5.0,2.0,2.0,2.0,3 phase,3,1,0,2,3,0,5,4,1,15,12,1,2,1,65,1,0.0002366666666666665,0.367935,0.03981833333333333,0.034471666666666664
House36,2018-06-01 02:00:00,0.8026633333333335,5989.51,2,2005,12.0,Yes,11,5.0,2.0,2.0,2.0,3 phase,3,1,0,2,3,0,5,4,1,15,12,1,2,1,65,1,0.0002699999999999998,0.4535166666666665,0.03739166666666667,0.0009466666666666668
House36,2018-06-01 03:00:00,1.0201866666666666,5989.51,2,2005,12.0,Yes,11,5.0,2.0,2.0,2.0,3 phase,3,1,0,2,3,0,5,4,1,15,12,1,2,1,65,1,0.19163333333333332,0.4547166666666667,0.03768,0.0008233333333333333
House36,2018-06-01 04:00:00,1.4313350000000005,5989.51,2,2005,12.0,Yes,11,5.0,2.0,2.0,2.0,3 phase,3,1,0,2,3,0,5,4,1,15,12,1,2,1,65,1,0.17846833333333328,0.3704983333333329,0.0456266666666667,0.06513500000000001
House36,2018-06-01 05:00:00,0.8293450000000001,5989.51,2,2005,12.0,Yes,11,5.0,2.0,2.0,2.0,3 phase,3,1,0,2,3,0,5,4,1,15,12,1,2,1,65,1,0.00029166666666666653,0.25231833333333337,0.024905000000000014,0.0011533333333333333
House36,2018-06-01 06:00:00,0.9970049999999999,5989.51,2,2005,12.0,Yes,11,5.0,2.0,2.0,2.0,3 phase,3,1,0,2,3,0,5,4,1,15,12,1,2,1,65,1,0.23086666666666664,0.2372416666666667,0.02361166666666668,0.0010633333333333337
House36,2018-06-01 07:00:00,0.7680283333333333,5989.51,2,2005,12.0,Yes,11,5.0,2.0,2.0,2.0,3 phase,3,1,0,2,3,0,5,4,1,15,12,1,2,1,65,1,0.003698333333333333,0.4283133333333335,0.030486666666666662,0.0006516666666666668
House36,2018-06-01 08:00:00,1.7388749999999995,5989.51,2,2005,12.0,Yes,11,5.0,2.0,2.0,2.0,3 phase,3,1,0,2,3,0,5,4,1,15,12,1,2,1,65,1,0.6058950000000001,0.33273,0.04382833333333334,0.12382333333333335
House36,2018-06-01 09:00:00,0.759335,5989.51,2,2005,12.0,Yes,11,5.0,2.0,2.0,2.0,3 phase,3,1,0,2,3,0,5,4,1,15,12,1,2,1,65,1,0.017909999999999957,0.4146766666666667,0.01897999999999999,0.02226666666666665
House36,2018-06-01 10:00:00,0.50544,5989.51,2,2005,12.0,Yes,11,5.0,2.0,2.0,2.0,3 phase,3,1,0,2,3,0,5,4,1,15,12,1,2,1,65,1,0.0004900000000000003,0.3619233333333334,0.016281666666666673,0.00019333333333333344
House36,2018-06-01 11:00:00,0.5326566666666667,5989.51,2,2005,12.0,Yes,11,5.0,2.0,2.0,2.0,3 phase,3,1,0,2,3,0,5,4,1,15,12,1,2,1,65,1,0.0004833333333333337,0.36078833333333343,0.01740333333333334,0.00032
