House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,Laundary_kW,Kitchen_kW,AC_BR_kW,AC_GR_kW,AC_SR_kW,Refrigerator_kW,Kitchen2_kW,AC_BR_kW.1,AC_MBR_kW
House16,2018-06-01 13:00:00,3.2148666666666657,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.5316566666666667,0.0018933333333333337,0.005488333333333331,0.6490433333333333,0.0003500000000000002,0.04337499999999999,1.8572283333333344,0.002818333333333334,0.0050933333333333325
House16,2018-06-01 14:00:00,0.26251,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.05916500000000005,0.0001866666666666667,0.0015216666666666686,0.0919149999999997,9.833333333333336e-05,0.013286666666666678,0.00013333333333333334,0.0003283333333333332,0.0013800000000000019
House16,2018-06-01 15:00:00,1.1303683333333336,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.23398000000000002,0.0007933333333333334,0.0043616666666666665,0.3212450000000001,0.0003316666666666666,0.04021333333333333,0.0004433333333333332,0.0008949999999999996,0.003743333333333336
House16,2018-06-01 16:00:00,1.472679999999999,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.22095666666666675,0.001341666666666666,0.005706666666666669,0.3671233333333333,0.0003149999999999997,0.05510666666666667,0.0005400000000000001,0.001338333333333333,0.005005000000000003
House16,2018-06-01 17:00:00,1.2177083333333332,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.29310499999999995,0.022175,0.0059016666666666644,0.3993733333333333,0.0005033333333333338,0.04694666666666668,0.0005633333333333338,0.0013016666666666665,0.0049816666666666655
House16,2018-06-01 18:00:00,1.4871450000000002,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.4821733333333333,0.05516833333333333,0.006086666666666666,0.14298499999999995,0.0008100000000000004,0.08501333333333333,0.0005016666666666671,0.0013433333333333324,0.005033333333333334
House16,2018-06-01 19:00:00,3.8544883333333337,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.52291,0.06981999999999998,0.0061400000000000005,0.015903333333333332,0.0007600000000000004,0.058165000000000015,0.5130549999999999,0.0018083333333333328,0.005240000000000004
House16,2018-06-01 20:00:00,3.996336666666666,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.4632766666666669,0.090935,0.0060450000000000035,0.4061900000000001,0.0005616666666666667,0.06068333333333335,1.3166683333333355,0.0025566666666666693,0.005423333333333331
House16,2018-06-01 21:00:00,2.440775,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.3761500000000001,0.04799333333333336,0.005915000000000003,0.2446633333333333,0.0004750000000000002,0.06755333333333333,0.0006083333333333338,0.0012,0.005311666666666665
House16,2018-06-01 22:00:00,2.4770533333333327,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.30521166666666666,0.057748333333333374,0.005778333333333332,0.2488100000000001,0.00042333333333333367,0.075725,0.000586666666666667,0.001153333333333333,0.005316666666666668
