House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_DR_kW,UPS_kW,LR_kW,Kitchen_kW,AC_DNR_kW,AC_BR_kW
House1,2018-07-15 16:00:00,2.452563333333333,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0004233333333333333,0.2310383333333333,0.32411333333333336,0.2409733333333333,0.003176666666666672,1.01466
House1,2018-07-15 17:00:00,1.3109016666666669,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0003183333333333337,0.22687999999999994,0.3235233333333334,0.2262500000000001,0.005351666666666665,0.0002766666666666667
House1,2018-07-15 18:00:00,1.3544450000000003,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0002716666666666666,0.2702300000000001,0.33117499999999994,0.17904666666666666,0.004376666666666668,0.0005216666666666665
House1,2018-07-15 19:00:00,1.9486916666666667,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0007066666666666667,0.3648466666666667,0.32117166666666674,0.22251333333333329,0.002655000000000001,0.275385
House1,2018-07-15 20:00:00,3.648539999999999,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0007183333333333334,0.3327349999999999,0.3600500000000001,0.3759533333333333,0.008171666666666664,1.5343816666666663
House1,2018-07-15 21:00:00,3.5486916666666684,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0003499999999999995,0.29397833333333345,0.35336000000000023,0.2875783333333333,0.005818333333333334,1.5071766666666668
House1,2018-07-15 22:00:00,2.6579333333333333,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0004450000000000002,0.3316583333333332,0.35239833333333337,0.33720666666666665,0.007916666666666664,0.5351283333333333
House1,2018-07-15 23:00:00,1.9169799999999992,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00042333333333333367,0.23720333333333346,0.3460833333333333,0.29567999999999994,0.0060716666666666644,0.00014833333333333338
House1,2018-07-16 00:00:00,2.141306666666666,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0002833333333333333,0.20342166666666664,0.2578800000000001,0.2282383333333333,0.0044300000000000025,0.5982850000000001
House1,2018-07-16 01:00:00,2.1453333333333333,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00013333333333333329,0.18148000000000009,0.13527999999999998,0.19152999999999992,0.0037400000000000016,0.9849666666666668
