House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_LR_kW,Kitchen_kW,AC_BR_kW.1,BR_kW
House24,2018-10-07 16:00:00,0.08102499999999996,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.007624999999999994,0.006801666666666667,0.017521666666666668,0.0002833333333333333,0.0020983333333333336
House24,2018-10-07 17:00:00,0.15653,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.007946666666666666,0.0069399999999999965,0.028410000000000005,0.00029166666666666664,0.002163333333333332
House24,2018-10-07 18:00:00,0.2375566666666667,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.008144999999999994,0.006950000000000003,0.024278333333333343,0.00016500000000000005,0.002143333333333333
House24,2018-10-07 19:00:00,0.2773899999999999,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.008243333333333323,0.0069333333333333365,0.021428333333333327,0.00010500000000000003,0.0020716666666666674
House24,2018-10-07 20:00:00,0.6631866666666667,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.2120033333333333,0.10876166666666667,0.05129666666666667,0.00016500000000000005,0.06470833333333341
House24,2018-10-07 21:00:00,1.2244149999999998,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.4189133333333333,0.21197333333333326,0.02212,0.000671666666666666,0.4245766666666666
House24,2018-10-07 22:00:00,1.0004450000000005,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.3426933333333333,0.17379499999999998,0.017381666666666674,0.0005200000000000001,0.3049450000000001
House24,2018-10-07 23:00:00,0.8605566666666667,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.2739033333333333,0.139475,0.01074166666666667,0.0004633333333333333,0.26599166666666674
House24,2018-10-08 00:00:00,0.6702600000000001,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.2535083333333334,0.12939333333333336,0.02073166666666666,0.00030333333333333324,0.029128333333333305
House24,2018-10-08 01:00:00,0.6217383333333335,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.20619166666666675,0.10572333333333338,0.023256666666666655,0.00024333333333333344,0.028923333333333308
