House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW
House18,2018-06-01 23:00:00,1.4014266666666668,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.0001383333333333333
House18,2018-06-02 00:00:00,0.9889150000000008,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.00010333333333333336
House18,2018-06-02 01:00:00,0.7747416666666668,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,8.83333333333333e-05
House18,2018-06-02 02:00:00,1.3507766666666672,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.00014
House18,2018-06-02 03:00:00,1.438243333333333,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.00014166666666666668
House18,2018-06-02 04:00:00,1.2473416666666666,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.0003949999999999997
House18,2018-06-02 05:00:00,0.9879733333333334,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.0002749999999999999
House18,2018-06-02 06:00:00,0.3590566666666666,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,9.500000000000003e-05
House18,2018-06-02 07:00:00,1.1359316666666666,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,4.5e-05
House18,2018-06-02 08:00:00,1.1202083333333337,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,8.833333333333329e-05
House18,2018-06-02 09:00:00,0.41043333333333337,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.0002466666666666667
House18,2018-06-02 10:00:00,0.3607166666666666,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,7.833333333333333e-05
House18,2018-06-02 11:00:00,0.4380233333333332,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,4.999999999999998e-05
House18,2018-06-02 12:00:00,0.43937,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,5.666666666666664e-05
House18,2018-06-02 13:00:00,0.41640500000000014,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,7.666666666666664e-05
House18,2018-06-02 14:00:00,0.4192799999999999,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,6.999999999999998e-05
House18,2018-06-02 15:00:00,1.6210100000000007,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,5.9999999999999974e-05
House18,2018-06-02 16:00:00,1.4155366666666669,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,7.499999999999998e-05
House18,2018-06-02 17:00:00,1.1279,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,7.166666666666664e-05
House18,2018-06-02 18:00:00,1.6451783333333336,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,5.166666666666664e-05
House18,2018-06-02 19:00:00,1.6504483333333329,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,3.166666666666668e-05
