House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS
House39,2018-06-01 00:00:00,2.2270450000000013,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 01:00:00,2.138938333333334,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 02:00:00,2.16906,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 03:00:00,2.104996666666666,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 04:00:00,1.9525766666666668,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 05:00:00,1.9432050000000003,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 06:00:00,1.9175850000000003,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 07:00:00,1.90145,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 08:00:00,1.928721666666667,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 09:00:00,1.9749433333333324,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 10:00:00,1.4351283333333331,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 11:00:00,1.839395,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 12:00:00,1.8557883333333336,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 13:00:00,0.1201950000000002,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 14:00:00,0.8361033333333334,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 15:00:00,0.8949766666666664,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 16:00:00,0.4241266666666663,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 17:00:00,0.9376416666666668,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
House39,2018-06-01 18:00:00,1.101526666666666,7623.01,1,1990,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,3,1,0,10,4,0,0,0,7,1
