House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS
House34,2018-06-01 00:00:00,5.269373333333333,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 01:00:00,5.472586666666667,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 02:00:00,5.513655000000003,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 03:00:00,4.868036666666669,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 04:00:00,5.020384999999998,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 05:00:00,4.821148333333333,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 06:00:00,4.902538333333333,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 07:00:00,4.838465000000001,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 08:00:00,5.020171666666667,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 09:00:00,5.0746850000000014,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 10:00:00,0.4402349999999997,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 11:00:00,3.0499150000000013,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 12:00:00,1.2827766666666671,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 13:00:00,1.3976366666666664,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 14:00:00,1.187565,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 15:00:00,0.6515116666666656,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 16:00:00,1.0816966666666663,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 17:00:00,1.3132316666666668,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 18:00:00,1.7027583333333334,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 19:00:00,1.4610216666666662,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 20:00:00,1.54615,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 21:00:00,3.7516966666666662,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 22:00:00,4.370059999999999,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-01 23:00:00,4.517211666666667,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-02 00:00:00,4.637643333333333,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-02 01:00:00,4.631081666666666,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-02 02:00:00,4.840046666666668,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-02 03:00:00,2.4504566666666663,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-02 04:00:00,4.44333,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-02 05:00:00,4.5205150000000005,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
House34,2018-06-02 06:00:00,4.581855,2722.51,2,2000,10.0,Yes ,9,5.0,2.0,1.0,1.0,3 phase,7,3,1,2,6,1,10,2,1,20,13,1,2,2,41,3
