House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,WP_kW,Kitchen_kW,AC_BR_kW
House21,2018-06-01 20:00:00,0.902176666666667,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.019583333333333345,0.2385383333333333,0.0008833333333333332
House21,2018-06-01 21:00:00,0.8143733333333337,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.019525,0.2361833333333333,0.0008116666666666669
House21,2018-06-01 22:00:00,0.7972766666666666,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.11292833333333327,0.2344183333333333,0.0006483333333333332
House21,2018-06-01 23:00:00,0.9169383333333332,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.01950666666666667,0.2256,0.0006050000000000004
House21,2018-06-02 00:00:00,1.107996666666667,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.01902666666666666,0.22543666666666665,0.0007249999999999997
House21,2018-06-02 01:00:00,2.4834816666666675,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0036533333333333327,0.2375633333333333,0.001528333333333332
House21,2018-06-02 02:00:00,1.4445716666666673,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.003671666666666668,0.3592000000000001,0.0010500000000000002
House21,2018-06-02 03:00:00,2.1716716666666667,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0035949999999999992,0.22415333333333332,0.0009116666666666666
House21,2018-06-02 04:00:00,1.8174400000000004,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.003696666666666668,0.22405,0.001476666666666667
House21,2018-06-02 05:00:00,1.5225016666666666,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.003834999999999997,0.23075500000000002,0.0016983333333333325
House21,2018-06-02 06:00:00,1.4742850000000003,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.003861666666666664,0.2288383333333333,0.0017466666666666661
House21,2018-06-02 07:00:00,1.4270500000000006,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0038699999999999976,0.2253383333333333,0.001706666666666666
House21,2018-06-02 08:00:00,0.7403466666666666,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0022483333333333327,0.2255516666666667,0.0014116666666666672
House21,2018-06-02 09:00:00,1.561076666666667,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0068000000000000005,0.22005833333333333,0.0012366666666666667
House21,2018-06-02 10:00:00,1.7756299999999998,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.10738333333333336,0.22355833333333328,0.0010400000000000003
House21,2018-06-02 11:00:00,1.4858316666666669,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.00010000000000000003,0.2322816666666667,0.0013983333333333324
House21,2018-06-02 12:00:00,0.6810533333333334,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,5.4999999999999975e-05,0.26983,0.0016083333333333336
House21,2018-06-02 13:00:00,0.5279433333333332,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,4.3333333333333334e-05,0.2357283333333333,0.0015883333333333342
House21,2018-06-02 14:00:00,0.8134049999999999,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.00014166666666666662,0.2316166666666666,0.0010216666666666668
House21,2018-06-02 15:00:00,0.9777050000000004,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0002433333333333333,0.22639166666666666,0.0006950000000000005
House21,2018-06-02 16:00:00,1.0564283333333333,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,6.499999999999995e-05,0.22481500000000001,0.0008700000000000003
House21,2018-06-02 17:00:00,0.8999183333333335,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.07136499999999997,0.23723999999999995,0.0008316666666666674
House21,2018-06-02 18:00:00,1.3028699999999998,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.113345,0.2356416666666667,0.0004633333333333333
House21,2018-06-02 19:00:00,1.0191,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.008718333333333333,0.25139,0.001013333333333333
House21,2018-06-02 20:00:00,1.10394,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.019770000000000024,0.3373516666666668,0.0011216666666666662
House21,2018-06-02 21:00:00,0.9889666666666668,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.02055333333333333,0.26003000000000004,0.000925
