House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,WP_kW,Kitchen_kW,AC_kW,AC_kW.1
House37,2018-06-01 19:00:00,0.3422716666666667,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0022549999999999983,0.0002583333333333333,0.243465,0.08740999999999997
House37,2018-06-01 20:00:00,0.33240499999999995,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002133333333333333,0.00023166666666666675,0.23907166666666674,0.0909683333333334
House37,2018-06-01 21:00:00,0.3355283333333333,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002096666666666668,0.0002283333333333335,0.23739666666666656,0.09580666666666666
House37,2018-06-01 22:00:00,0.4513666666666667,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0022016666666666647,0.00020166666666666683,0.23494999999999994,0.21401333333333336
House37,2018-06-01 23:00:00,1.8935683333333317,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0022316666666666644,1.337558333333333,0.2456,0.2249066666666667
House37,2018-06-02 00:00:00,2.06917,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0023416666666666672,1.617763333333334,0.2377483333333334,0.2113166666666667
House37,2018-06-02 01:00:00,2.002125,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002476666666666668,1.5852066666666669,0.2199883333333334,0.1944533333333333
House37,2018-06-02 02:00:00,3.2088066666666664,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,1.0204350000000002,1.574758333333333,0.24538,0.21414333333333327
House37,2018-06-02 03:00:00,2.161016666666667,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.3612400000000008,1.3183733333333334,0.2397033333333333,0.2181
House37,2018-06-02 04:00:00,1.6172916666666668,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002458333333333334,1.1845800000000002,0.2259033333333333,0.20434999999999995
