House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_BR_kW,AC_kW,AC_kW.1,Kitchen_kW,WP_kW
House9,2018-06-01 16:00:00,0.3100366666666667,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0007016666666666662,0.0021683333333333333,0.0003916666666666669,0.000643333333333333,0.15674666666666667,0.03507166666666668
House9,2018-06-01 17:00:00,0.3195883333333333,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0007716666666666669,0.002283333333333333,0.00042166666666666687,0.0006049999999999996,0.16252833333333333,0.027603333333333303
House9,2018-06-01 18:00:00,1.4310066666666663,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.6622366666666667,0.3465183333333333,0.0005399999999999998,0.0012116666666666669,0.17353500000000008,0.07526666666666666
House9,2018-06-01 19:00:00,2.5937516666666665,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,1.8932233333333333,0.4821549999999995,0.000646666666666667,0.0028716666666666647,0.1756933333333333,0.03916166666666668
House9,2018-06-01 20:00:00,1.3893233333333332,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,1.0486716666666658,0.0019966666666666666,0.0004933333333333337,0.0019900000000000013,0.1591916666666667,0.03821666666666666
House9,2018-06-01 21:00:00,0.42526,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0007449999999999997,0.002226666666666667,0.0004366666666666668,0.0006450000000000001,0.20257166666666668,0.045865
House9,2018-06-01 22:00:00,0.2859633333333333,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0007083333333333331,0.0022250000000000004,0.0004466666666666669,0.0006983333333333331,0.1582933333333333,0.017260000000000005
House9,2018-06-01 23:00:00,0.6668433333333332,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0005749999999999997,0.231385,0.0004216666666666666,0.0003866666666666668,0.15553833333333336,0.010695
House9,2018-06-02 00:00:00,2.150611666666667,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0003366666666666669,1.1194816666666665,0.00079,0.5460266666666668,0.15644833333333333,0.06594
House9,2018-06-02 01:00:00,1.380641666666666,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0003833333333333335,1.1920600000000001,0.0007183333333333331,0.00026000000000000003,0.15109500000000006,0.012144999999999993
House9,2018-06-02 02:00:00,1.3866433333333332,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00037166666666666695,1.163216666666667,0.0006966666666666666,0.00024166666666666661,0.15146166666666666,0.06864166666666666
House9,2018-06-02 03:00:00,1.1267199999999995,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0004350000000000002,0.8361916666666667,0.0006266666666666668,0.00037500000000000017,0.14913500000000005,0.13492833333333334
House9,2018-06-02 04:00:00,1.0383399999999996,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0004650000000000002,0.8074849999999999,0.0005649999999999999,0.00038,0.14621000000000006,0.06626666666666667
House9,2018-06-02 05:00:00,1.3587283333333326,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0003933333333333335,1.1503700000000001,0.0006833333333333329,0.0001950000000000001,0.14824833333333334,0.011530000000000002
House9,2018-06-02 06:00:00,1.0335233333333331,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.000515,0.8212949999999998,0.0005516666666666667,0.0004083333333333334,0.18305833333333327,0.010448333333333329
House9,2018-06-02 07:00:00,1.0575983333333334,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0004050000000000002,0.8787816666666669,0.0005899999999999997,0.00028166666666666666,0.14706833333333336,0.010303333333333336
House9,2018-06-02 08:00:00,1.6774800000000003,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00021,0.6095150000000003,0.9120983333333332,0.0003583333333333334,0.14341666666666664,0.009183333333333328
House9,2018-06-02 09:00:00,0.8372666666666668,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00046833333333333357,0.6768033333333335,0.0004650000000000002,0.0006900000000000001,0.14582666666666666,0.013013333333333332
House9,2018-06-02 10:00:00,0.5648166666666667,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0005299999999999999,0.38053666666666736,0.0004400000000000004,0.0007833333333333335,0.14554166666666654,0.02079166666666667
House9,2018-06-02 11:00:00,0.1969216666666668,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0006200000000000003,0.0023533333333333327,0.0004000000000000002,0.0009866666666666672,0.14494500000000002,0.01282000000000001
House9,2018-06-02 12:00:00,0.18545833333333334,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0006050000000000003,0.0021650000000000003,0.0004000000000000002,0.0009666666666666668,0.13953666666666667,0.01065833333333333
House9,2018-06-02 13:00:00,0.5960933333333335,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0005100000000000004,0.4045800000000001,0.0005600000000000001,0.0006650000000000004,0.1397483333333333,0.010829999999999998
House9,2018-06-02 14:00:00,1.2170800000000004,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00034,1.0193250000000005,0.0008100000000000003,0.00020833333333333327,0.1384133333333333,0.010701666666666674
House9,2018-06-02 15:00:00,0.27125999999999995,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0005533333333333334,0.001825,0.00028999999999999973,0.0006633333333333336,0.1358316666666667,0.037165
House9,2018-06-02 16:00:00,0.4231600000000001,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0005100000000000004,0.0020316666666666686,0.00020000000000000006,0.000501666666666667,0.13727499999999992,0.1457216666666667
