House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,UPS_kW,WD_kW,Refrigerator_kW,AC_BR_kW.1
House38,2018-06-01 19:00:00,2.7409633333333328,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.003055,0.0008950000000000002,0.0996,0.1655383333333334,1.6703800000000009
House38,2018-06-01 20:00:00,2.477800000000001,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.002991666666666667,0.0005750000000000001,0.04065166666666667,0.15517666666666668,1.5428183333333336
House38,2018-06-01 21:00:00,2.495818333333333,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.002751666666666666,0.00034833333333333347,0.08215500000000002,0.12259333333333335,1.5189116666666664
House38,2018-06-01 22:00:00,2.243818333333333,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0026800000000000005,0.0003449999999999999,0.047541666666666656,0.1425233333333333,1.2901449999999997
House38,2018-06-01 23:00:00,0.915725,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.002458333333333334,0.0002433333333333333,0.05146833333333333,0.10510333333333333,0.0021899999999999992
House38,2018-06-02 00:00:00,0.9384983333333332,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0027899999999999986,0.00016499999999999994,0.039175,0.1195633333333333,0.002183333333333334
House38,2018-06-02 01:00:00,1.0890283333333337,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0040633333333333355,0.00023833333333333345,0.10529166666666663,0.12721666666666667,0.0027983333333333337
House38,2018-06-02 02:00:00,1.9361766666666669,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.004603333333333332,0.00020499999999999994,0.11114166666666668,0.09624833333333332,0.8102533333333335
House38,2018-06-02 03:00:00,3.7410733333333344,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.0945416666666663,0.0007233333333333332,0.09902166666666666,0.159175,1.4613433333333334
House38,2018-06-02 04:00:00,2.3203450000000005,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.3376050000000004,0.000205,0.04474833333333333,0.1101433333333333,0.3979066666666665
