House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS
House27,2018-06-01 00:00:00,4.36954,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 01:00:00,4.398298333333334,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 02:00:00,2.68835,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 03:00:00,2.9780216666666672,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 04:00:00,2.129233333333332,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 05:00:00,2.402025,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 06:00:00,3.0158983333333333,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 07:00:00,3.3646483333333337,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 08:00:00,3.093963333333333,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 09:00:00,1.6976133333333328,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 10:00:00,0.275518333333334,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 11:00:00,1.0038283333333329,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 12:00:00,2.211418333333333,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 13:00:00,0.6190766666666673,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 14:00:00,2.0117166666666666,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 15:00:00,2.3722733333333337,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 16:00:00,1.0982649999999987,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 17:00:00,1.05623,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 18:00:00,0.5595933333333334,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 19:00:00,0.5998250000000002,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 20:00:00,1.1375883333333332,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 21:00:00,0.7458799999999999,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 22:00:00,0.7477666666666666,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-01 23:00:00,1.4539516666666663,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 00:00:00,1.9422683333333333,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 01:00:00,0.6821166666666668,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 02:00:00,1.5764683333333336,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 03:00:00,1.6872383333333334,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 04:00:00,0.7499383333333334,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 05:00:00,0.484005,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 06:00:00,0.4441533333333333,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 07:00:00,1.518333333333333,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 08:00:00,1.580585,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 09:00:00,1.6135116666666671,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 10:00:00,0.3751783333333324,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 11:00:00,1.4040633333333334,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 12:00:00,1.723021666666667,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 13:00:00,0.6607066666666667,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 14:00:00,0.4344599999999998,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 15:00:00,1.326375,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 16:00:00,0.26013666666666657,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 17:00:00,0.4332583333333331,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 18:00:00,0.6396849999999998,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 19:00:00,2.159361666666668,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 20:00:00,0.7514150000000002,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 21:00:00,0.5696116666666667,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 22:00:00,0.9793116666666668,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-02 23:00:00,0.9480333333333328,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 00:00:00,0.10117499999999977,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 01:00:00,1.0828950000000002,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 02:00:00,0.802433333333333,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 03:00:00,1.8629183333333328,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 04:00:00,1.0189716666666668,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 05:00:00,1.127616666666667,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 06:00:00,1.7702650000000002,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 07:00:00,0.54555,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 08:00:00,0.3652483333333335,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 09:00:00,0.3108300000000001,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 10:00:00,0.20172166666666666,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 11:00:00,0.2026016666666667,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 12:00:00,0.200405,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 13:00:00,0.23548666666666665,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 14:00:00,0.3831683333333333,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 15:00:00,0.3683399999999999,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
House27,2018-06-03 16:00:00,0.3630866666666668,1089.0,1,2008,11.0,No,6,5.0,0.0,0.0,1.0,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,11,1
