House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,Refrigerator_kW,UPS_kW
House8,2018-06-01 20:00:00,0.2937933333333333,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0003083333333333334,0.29237500000000005,0.0005216666666666672
House8,2018-06-01 21:00:00,0.2299666666666667,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00034333333333333346,0.2286083333333333,0.0003850000000000002
House8,2018-06-01 22:00:00,0.2273316666666668,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0003666666666666668,0.22592,0.0003866666666666669
House8,2018-06-01 23:00:00,0.3403416666666665,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00031833333333333296,0.3389083333333333,0.0005533333333333334
House8,2018-06-02 00:00:00,0.6621216666666666,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00019166666666666675,0.6605283333333332,0.0011616666666666663
House8,2018-06-02 01:00:00,0.8183549999999998,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00013333333333333326,0.8167399999999999,0.001441666666666666
House8,2018-06-02 02:00:00,1.6981633333333332,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,1.0792783333333336,0.6167133333333332,0.000471666666666667
House8,2018-06-02 03:00:00,1.7365000000000004,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,1.14927,0.584955,0.00030333333333333346
House8,2018-06-02 04:00:00,1.4171766666666674,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,1.1452100000000005,0.2684283333333333,0.0010183333333333322
House8,2018-06-02 05:00:00,1.3951633333333333,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,1.1579316666666668,0.2339333333333333,0.001106666666666666
House8,2018-06-02 06:00:00,1.3244949999999998,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,1.1079450000000002,0.2132366666666667,0.0010949999999999994
House8,2018-06-02 07:00:00,1.0965533333333328,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.9023066666666666,0.19173666666666656,0.0009016666666666664
House8,2018-06-02 08:00:00,1.3117550000000002,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,1.11908,0.18951666666666664,0.0011449999999999998
House8,2018-06-02 09:00:00,0.6871150000000003,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.374585,0.3111433333333332,0.0006650000000000004
House8,2018-06-02 10:00:00,0.429525,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.07201,0.3570466666666666,0.0005966666666666669
House8,2018-06-02 11:00:00,0.37631333333333344,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.05014000000000003,0.32536166666666666,0.0006066666666666657
House8,2018-06-02 12:00:00,0.28503666666666666,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002950000000000001,0.2835233333333333,0.0004600000000000004
House8,2018-06-02 13:00:00,0.2629983333333334,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002683333333333333,0.2615783333333334,0.00042333333333333367
House8,2018-06-02 14:00:00,0.5292933333333332,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00017000000000000007,0.52779,0.001108333333333333
House8,2018-06-02 15:00:00,0.6014333333333334,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0001200000000000001,0.5998266666666668,0.0011633333333333335
House8,2018-06-02 16:00:00,0.728631666666667,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00010333333333333336,0.7270066666666666,0.0014499999999999992
House8,2018-06-02 17:00:00,0.7411783333333333,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00011500000000000007,0.7395316666666668,0.0013649999999999992
House8,2018-06-02 18:00:00,0.8955166666666664,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,8.666666666666667e-05,0.8936816666666664,0.0017933333333333317
House8,2018-06-02 19:00:00,0.8157716666666668,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,9.000000000000002e-05,0.8140133333333336,0.0015883333333333333
House8,2018-06-02 20:00:00,0.7124116666666666,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0001083333333333333,0.7106733333333335,0.001356666666666667
House8,2018-06-02 21:00:00,0.7407933333333333,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00014833333333333327,0.7391216666666666,0.0013599999999999994
House8,2018-06-02 22:00:00,0.8529416666666665,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00011666666666666668,0.8511333333333333,0.0015366666666666669
House8,2018-06-02 23:00:00,0.5892983333333334,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00010833333333333327,0.5879383333333336,0.0009999999999999998
House8,2018-06-03 00:00:00,0.43302333333333337,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002566666666666665,0.43147499999999983,0.0006033333333333338
House8,2018-06-03 01:00:00,0.3539566666666667,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002799999999999999,0.3523933333333334,0.0004849999999999999
House8,2018-06-03 02:00:00,0.7655816666666669,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00013666666666666675,0.7637983333333334,0.0014549999999999988
House8,2018-06-03 03:00:00,0.7531216666666667,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00014333333333333328,0.7513966666666668,0.0015333333333333332
House8,2018-06-03 04:00:00,0.2985033333333334,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002433333333333333,0.29711000000000004,0.0005833333333333338
House8,2018-06-03 05:00:00,0.2379016666666666,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002983333333333335,0.23652333333333336,0.0004116666666666669
House8,2018-06-03 06:00:00,0.21379166666666666,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002783333333333334,0.212535,0.00039500000000000017
House8,2018-06-03 07:00:00,0.20761666666666667,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002066666666666667,0.20628833333333327,0.0004000000000000002
House8,2018-06-03 08:00:00,0.18279000000000006,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0001683333333333333,0.1816166666666668,0.0003350000000000001
House8,2018-06-03 09:00:00,0.22090166666666675,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00015499999999999995,0.21954500000000005,0.00027500000000000007
House8,2018-06-03 10:00:00,0.2058333333333333,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00019666666666666674,0.204475,0.0003350000000000002
House8,2018-06-03 11:00:00,0.21003833333333333,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0001966666666666667,0.2086450000000001,0.00033333333333333365
House8,2018-06-03 12:00:00,0.2372733333333333,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00021666666666666666,0.2357766666666668,0.0004066666666666665
House8,2018-06-03 13:00:00,0.3527316666666665,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0001599999999999999,0.3511933333333333,0.0006900000000000008
House8,2018-06-03 14:00:00,0.5046083333333334,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00015333333333333334,0.5031016666666669,0.0011116666666666658
House8,2018-06-03 15:00:00,0.6303183333333334,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0001333333333333333,0.6287483333333335,0.0013383333333333348
House8,2018-06-03 16:00:00,0.6920433333333332,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00014833333333333346,0.6902866666666667,0.0012050000000000001
House8,2018-06-03 17:00:00,0.8056816666666666,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00011833333333333335,0.8039016666666671,0.0013916666666666665
House8,2018-06-03 18:00:00,0.8518883333333332,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00013999999999999996,0.8501983333333333,0.001486666666666667
House8,2018-06-03 19:00:00,0.5531066666666666,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00018166666666666665,0.5516199999999998,0.001008333333333334
House8,2018-06-03 20:00:00,0.4654883333333334,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00015166666666666662,0.4639716666666666,0.0008233333333333333
House8,2018-06-03 21:00:00,0.4382883333333335,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00013833333333333335,0.436675,0.0008600000000000001
House8,2018-06-03 22:00:00,0.4181583333333335,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.000135,0.4166116666666667,0.0008099999999999997
House8,2018-06-03 23:00:00,0.4595616666666667,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00013500000000000006,0.4578816666666667,0.0008449999999999992
House8,2018-06-04 00:00:00,0.33318166666666665,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002316666666666667,0.33153666666666665,0.0005000000000000003
House8,2018-06-04 01:00:00,0.3220466666666665,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002566666666666667,0.32031833333333337,0.0004533333333333338
House8,2018-06-04 02:00:00,0.4089933333333332,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00018166666666666648,0.40724166666666667,0.0008066666666666669
House8,2018-06-04 03:00:00,0.54247,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0001316666666666667,0.5407449999999999,0.0011433333333333324
House8,2018-06-04 04:00:00,0.2269533333333333,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00020166666666666683,0.2254016666666666,0.00040500000000000025
House8,2018-06-04 05:00:00,0.21287,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00020166666666666683,0.21143166666666674,0.0003933333333333335
House8,2018-06-04 06:00:00,0.20905000000000004,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0001933333333333334,0.2076933333333333,0.0003766666666666669
House8,2018-06-04 07:00:00,0.20479666666666668,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00016499999999999994,0.20347166666666666,0.0003750000000000003
House8,2018-06-04 08:00:00,0.20332666666666674,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00016166666666666668,0.2019350000000001,0.0003766666666666669
House8,2018-06-04 09:00:00,0.30770333333333344,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00016666666666666666,0.30609666666666674,0.000498333333333334
House8,2018-06-04 10:00:00,0.27820333333333314,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,8.333333333333333e-05,0.2772166666666665,0.0005533333333333335
House8,2018-06-04 11:00:00,0.3450716666666667,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,4.3333333333333334e-05,0.34391333333333324,0.0006666666666666673
House8,2018-06-04 12:00:00,0.4023050000000001,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,1.3333333333333335e-05,0.40078,0.000868333333333333
House8,2018-06-04 13:00:00,0.14779499999999987,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,1e-05,0.1473149999999999,0.0002950000000000001
House8,2018-06-04 14:00:00,0.4808333333333333,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00010166666666666672,0.4792733333333333,0.000975
House8,2018-06-04 15:00:00,0.1293966666666668,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,2.8333333333333342e-05,0.12897666666666674,0.00024333333333333336
House8,2018-06-04 16:00:00,0.5307449999999999,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,3.5000000000000004e-05,0.5295400000000001,0.0010066666666666663
House8,2018-06-04 17:00:00,0.8850899999999999,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00011166666666666665,0.8108216666666668,0.0743733333333333
House8,2018-06-04 18:00:00,0.9667749999999998,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00025666666666666665,0.7973266666666665,0.16957666666666665
House8,2018-06-04 19:00:00,0.7492383333333336,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00016166666666666678,0.698525,0.05051833333333326
House8,2018-06-04 20:00:00,0.63113,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00011000000000000004,0.6294533333333333,0.001213333333333334
House8,2018-06-04 21:00:00,0.6874533333333332,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00010166666666666672,0.6857516666666665,0.0012050000000000012
House8,2018-06-04 22:00:00,0.7300000000000002,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,9.500000000000003e-05,0.7282583333333333,0.001323333333333333
House8,2018-06-04 23:00:00,0.6196550000000001,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0001266666666666667,0.617935,0.001128333333333333
