House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_DR_kW,AC_BR_kW,UPS_kW,WD_kW,Refrigerator_kW
House31,2018-06-01 16:00:00,2.3088450000000003,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0021533333333333326,0.4817749999999999,0.008544999999999999,0.18002333333333334,0.10782500000000003,0.12846999999999995
House31,2018-06-01 17:00:00,2.294678333333334,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0021983333333333343,0.50605,0.008553333333333335,0.13063000000000005,0.033860000000000105,0.15345833333333336
House31,2018-06-01 18:00:00,0.7649583333333335,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.000715000000000001,0.18299833333333304,0.006741666666666666,0.21014333333333327,0.08308499999999999,0.19486166666666666
House31,2018-06-01 19:00:00,0.8096616666666666,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0006000000000000003,0.0008966666666666664,0.006573333333333331,0.31756,0.15400833333333327,0.2507183333333333
House31,2018-06-01 20:00:00,1.0318083333333332,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0008049999999999999,0.0009450000000000004,0.01792333333333334,0.3469183333333333,0.15081666666666674,0.24145833333333336
House31,2018-06-01 21:00:00,1.0351216666666667,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0010166666666666664,0.0009749999999999994,0.007554999999999992,0.28139833333333336,0.13541666666666666,0.25272
House31,2018-06-01 22:00:00,0.8120450000000001,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0006683333333333332,0.0008883333333333332,0.006983333333333332,0.2558900000000001,0.13382,0.27887333333333325
House31,2018-06-01 23:00:00,0.8189766666666664,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0004616666666666674,0.0011666666666666661,0.006955000000000004,0.20799166666666666,0.13319333333333333,0.2625433333333333
House31,2018-06-02 00:00:00,1.6826516666666664,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0012266666666666665,0.6799033333333332,0.007929999999999998,0.26719000000000004,0.0687883333333333,0.2582633333333333
House31,2018-06-02 01:00:00,2.8615366666666664,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.002636666666666666,0.6170749999999999,0.26173166666666664,0.2407266666666667,0.10891166666666667,0.24933833333333336
House31,2018-06-02 02:00:00,2.134478333333334,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0019399999999999999,0.4036866666666665,0.5851849999999998,0.21721833333333326,0.04065,0.21630499999999991
House31,2018-06-02 03:00:00,1.3394349999999997,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.001143333333333333,0.40060500000000004,0.007046666666666669,0.2320016666666667,0.12422833333333333,0.24256
House31,2018-06-02 04:00:00,3.4316383333333347,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.001963333333333333,0.3892450000000002,0.006409999999999999,0.2437200000000001,0.05465500000000007,0.15646166666666667
House31,2018-06-02 05:00:00,2.643073333333334,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.001464999999999999,0.2809583333333332,0.006061666666666668,0.15114833333333333,0.061775,0.13491499999999998
House31,2018-06-02 06:00:00,2.7104850000000007,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0014883333333333324,0.3885916666666666,0.0060266666666666645,0.14953833333333336,0.10288833333333333,0.14596166666666666
House31,2018-06-02 07:00:00,2.629073333333333,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.001218333333333334,0.2656366666666667,0.006228333333333334,0.14264000000000002,0.004671666666666667,0.16974999999999998
House31,2018-06-02 08:00:00,3.068025,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0013616666666666668,0.4231549999999999,0.006190000000000003,0.13624166666666668,0.10401000000000003,0.13849833333333336
House31,2018-06-02 09:00:00,2.9807516666666682,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.001438333333333333,0.31095666666666666,0.005944999999999998,0.13978000000000004,0.05374333333333337,0.13051
House31,2018-06-02 10:00:00,3.560708333333333,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.002576666666666666,0.4661916666666669,0.005881666666666664,0.16747166666666669,0.046075,0.12520833333333334
House31,2018-06-02 11:00:00,4.329606666666667,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.002691666666666668,0.4849033333333334,0.005863333333333332,0.2334433333333333,0.40770666666666666,0.1250016666666667
House31,2018-06-02 12:00:00,2.8265466666666663,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0021583333333333324,1.2505199999999996,0.006721666666666665,0.19873666666666667,0.08506999999999999,0.12582333333333331
House31,2018-06-02 13:00:00,3.97293,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.003176666666666665,1.7160650000000002,0.010296666666666657,0.2851716666666665,0.09958166666666668,0.16723999999999994
House31,2018-06-02 14:00:00,3.953618333333334,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0032300000000000037,1.338276666666666,0.010065000000000006,0.16330833333333328,0.18913333333333326,0.17982166666666669
House31,2018-06-02 15:00:00,3.225181666666668,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0030899999999999986,0.001311666666666667,1.20917,0.14854333333333336,0.034575000000000015,0.21598499999999998
House31,2018-06-02 16:00:00,1.5194783333333337,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0013200000000000006,0.0008433333333333332,0.850325,0.19571166666666664,0.1283233333333334,0.1679633333333334
House31,2018-06-02 17:00:00,2.986473333333333,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0025316666666666664,0.0009766666666666667,0.7848683333333333,0.2578716666666667,0.1638616666666667,0.127175
House31,2018-06-02 18:00:00,0.5121383333333333,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.000793333333333333,0.0004466666666666672,0.007133333333333333,0.04604166666666666,0.11061500000000003,0.11818499999999998
House31,2018-06-02 19:00:00,0.22332999999999995,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0006699999999999999,0.0006749999999999997,0.006688333333333332,0.0359016666666667,0.01321499999999996,0.11557333333333335
House31,2018-06-02 20:00:00,0.25648166666666666,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0006816666666666668,0.00039500000000000017,0.006508333333333338,0.03570833333333336,0.09554666666666664,0.08061499999999995
House31,2018-06-02 21:00:00,0.60478,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0009516666666666662,0.0004983333333333336,0.006926666666666665,0.08040166666666668,0.06296833333333332,0.11069166666666667
House31,2018-06-02 22:00:00,2.825905000000001,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0026116666666666658,0.000925,0.5133666666666667,0.2850433333333333,0.1016466666666667,0.12617
House31,2018-06-02 23:00:00,3.632658333333332,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0029366666666666677,0.8736049999999999,0.5334933333333335,0.2794766666666668,0.1429266666666666,0.15579333333333328
