House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_DR_kW,UPS_kW,Kitchen_kW,AC_MBR_kW
House6,2018-11-14 18:00:00,0.9582999999999998,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.00010000000000000003,0.5811633333333334,0.11371333333333335,0.0003733333333333333
House6,2018-11-14 19:00:00,0.8969416666666665,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.00011000000000000007,0.4871550000000001,0.135595,0.0004616666666666668
House6,2018-11-14 20:00:00,0.7772899999999999,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,3.8333333333333334e-05,0.5512849999999999,0.07068666666666665,0.00025500000000000007
House6,2018-11-14 21:00:00,0.7415733333333334,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,1.6666666666666669e-06,0.3241949999999999,0.12046333333333335,0.00024999999999999984
House6,2018-11-14 22:00:00,0.6163850000000001,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,3.3333333333333333e-06,0.319535,0.057785,7.333333333333333e-05
House6,2018-11-14 23:00:00,0.8130916666666665,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,5.999999999999996e-05,0.5424049999999999,0.09723666666666668,0.00028333333333333346
House6,2018-11-15 00:00:00,0.7853916666666669,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,4e-05,0.4938799999999999,0.10762166666666666,0.0002216666666666665
House6,2018-11-15 01:00:00,0.5669583333333333,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,1.3333333333333335e-05,0.38799,0.057964999999999975,0.000135
House6,2018-11-15 02:00:00,0.8793766666666664,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,1.6666666666666669e-06,0.5737666666666665,0.112195,0.00014333333333333334
House6,2018-11-15 03:00:00,0.4894183333333332,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,3.000000000000001e-05,0.3642966666666666,0.052793333333333366,5.999999999999996e-05
