House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_DR_kW,Kitchen_kW,UPS_kW
House19,2018-06-01 19:00:00,2.5356299999999994,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0021083333333333327,1.8469216666666668,0.4034016666666668,0.17802666666666667
House19,2018-06-01 20:00:00,1.8364116666666657,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0021316666666666667,0.9877150000000008,0.3351383333333332,0.2880249999999999
House19,2018-06-01 21:00:00,0.9946633333333332,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.002058333333333334,0.000215,0.4763983333333332,0.3179216666666667
House19,2018-06-01 22:00:00,1.156645,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0012166666666666671,0.0001483333333333333,0.47752,0.4914866666666667
House19,2018-06-01 23:00:00,2.8972833333333337,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0004466666666666666,0.0004166666666666668,0.4315016666666667,0.4363216666666668
House19,2018-06-02 00:00:00,3.892435,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005516666666666666,0.0009266666666666668,0.3458533333333333,0.24814499999999998
House19,2018-06-02 01:00:00,3.665864999999999,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00036500000000000014,0.0010783333333333335,0.2659950000000001,0.11108
House19,2018-06-02 02:00:00,3.5596983333333347,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.000375,0.0010016666666666668,0.3913333333333331,0.2271533333333333
House19,2018-06-02 03:00:00,3.7084949999999997,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005099999999999999,0.0008233333333333341,0.3710966666666667,0.3661349999999999
House19,2018-06-02 04:00:00,3.2630733333333324,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005383333333333334,0.0004233333333333335,0.2354533333333333,0.19863833333333333
