House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,AC_kW.1,Kitchen_kW,UPS_kW
House10,2018-06-01 18:00:00,0.5094066666666668,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005216666666666668,0.0016966666666666651,0.23201,0.2582683333333333
House10,2018-06-01 19:00:00,0.4446983333333332,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005183333333333336,0.0017016666666666658,0.21196500000000001,0.2014016666666668
House10,2018-06-01 20:00:00,0.3871866666666667,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005083333333333336,0.0016316666666666662,0.19404499999999994,0.17434000000000002
House10,2018-06-01 21:00:00,0.34697666666666666,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005600000000000001,0.001679999999999999,0.19128833333333325,0.13661833333333334
House10,2018-06-01 22:00:00,0.40559666666666666,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005700000000000003,0.0016733333333333311,0.22020500000000004,0.1665966666666667
House10,2018-06-01 23:00:00,0.36123666666666665,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.000606666666666667,0.0016833333333333307,0.20048833333333327,0.14203
House10,2018-06-02 00:00:00,0.2798033333333333,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0006483333333333334,0.001713333333333331,0.1968333333333333,0.06397499999999999
House10,2018-06-02 01:00:00,0.4834783333333332,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005833333333333335,0.0016899999999999975,0.199475,0.26492000000000004
House10,2018-06-02 02:00:00,0.5639366666666666,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005900000000000002,0.0016649999999999994,0.2306783333333333,0.3139599999999999
House10,2018-06-02 03:00:00,0.4782799999999999,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0006283333333333336,0.001633333333333333,0.2357466666666666,0.22324166666666667
House10,2018-06-02 04:00:00,0.386665,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0006549999999999997,0.0016266666666666658,0.1928283333333333,0.17472166666666664
House10,2018-06-02 05:00:00,0.3741766666666668,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0006866666666666664,0.0016866666666666649,0.19168166666666667,0.16331499999999996
House10,2018-06-02 06:00:00,0.2867483333333335,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0006999999999999996,0.0016916666666666642,0.12533499999999995,0.14224666666666674
House10,2018-06-02 07:00:00,0.180455,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.000646666666666667,0.0016550000000000009,0.023219999999999984,0.13843500000000006
House10,2018-06-02 08:00:00,0.234315,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0006150000000000003,0.0016150000000000005,0.08087166666666666,0.13488333333333333
House10,2018-06-02 09:00:00,0.29365166666666664,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005883333333333335,0.0016116666666666675,0.06945000000000001,0.2060250000000001
House10,2018-06-02 10:00:00,0.3955983333333333,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005866666666666665,0.0016049999999999984,0.17868166666666668,0.19227666666666665
House10,2018-06-02 11:00:00,0.3773533333333335,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0006200000000000004,0.0017199999999999974,0.20604833333333333,0.15243833333333331
House10,2018-06-02 12:00:00,0.4845783333333333,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005166666666666669,0.0016466666666666646,0.2426450000000001,0.22337000000000007
House10,2018-06-02 13:00:00,0.3941583333333333,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005766666666666668,0.001753333333333332,0.20454666666666668,0.17037833333333333
House10,2018-06-02 14:00:00,0.47849,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004933333333333333,0.0014599999999999984,0.1804066666666667,0.28148
House10,2018-06-02 15:00:00,0.354515,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00033166666666666696,0.0014783333333333337,0.16293333333333332,0.17462499999999995
House10,2018-06-02 16:00:00,0.5128533333333333,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0003150000000000002,0.0014900000000000009,0.1976966666666667,0.298005
House10,2018-06-02 17:00:00,0.422175,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00037000000000000016,0.0015483333333333345,0.20868666666666674,0.19602000000000008
House10,2018-06-02 18:00:00,0.5803916666666666,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00041000000000000015,0.0015533333333333345,0.2777083333333332,0.284745
House10,2018-06-02 19:00:00,0.5823333333333333,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00041000000000000026,0.0015716666666666667,0.2372133333333334,0.3268983333333333
House10,2018-06-02 20:00:00,0.5684366666666666,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0003966666666666668,0.0015133333333333346,0.22381833333333329,0.3265149999999999
House10,2018-06-02 21:00:00,0.34547000000000005,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004016666666666668,0.0015966666666666672,0.2043616666666666,0.12282666666666668
House10,2018-06-02 22:00:00,1.0381416666666663,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004050000000000002,0.0014783333333333337,0.20362166666666665,0.2044816666666667
House10,2018-06-02 23:00:00,0.4670450000000001,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004433333333333336,0.0015150000000000012,0.20470666666666665,0.2447766666666667
House10,2018-06-03 00:00:00,0.4927366666666667,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004933333333333337,0.0015383333333333345,0.19784000000000002,0.27704333333333336
House10,2018-06-03 01:00:00,0.4171800000000001,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005450000000000001,0.001605,0.19631833333333346,0.20243666666666668
House10,2018-06-03 02:00:00,0.33068000000000003,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0006033333333333338,0.0016383333333333324,0.19582500000000005,0.11601500000000001
House10,2018-06-03 03:00:00,0.9742283333333333,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005400000000000003,0.0015633333333333328,0.2018366666666667,0.18846
House10,2018-06-03 04:00:00,1.54383,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005400000000000002,0.0014900000000000009,0.20009333333333326,0.04400333333333335
House10,2018-06-03 05:00:00,1.5322516666666663,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005800000000000003,0.0015033333333333346,0.19289500000000004,0.04358499999999999
House10,2018-06-03 06:00:00,1.5359600000000002,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005883333333333336,0.0014983333333333342,0.21372999999999995,0.03590999999999999
House10,2018-06-03 07:00:00,1.5128200000000005,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005333333333333336,0.001471666666666667,0.20456666666666665,0.02390833333333333
House10,2018-06-03 08:00:00,1.5294516666666664,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005450000000000002,0.0014633333333333336,0.18400999999999995,0.025691666666666658
House10,2018-06-03 09:00:00,1.5632766666666669,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005050000000000002,0.0014349999999999992,0.18096166666666666,0.02454833333333333
House10,2018-06-03 10:00:00,1.6454799999999996,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004983333333333337,0.0014483333333333336,0.1807583333333333,0.056018333333333316
House10,2018-06-03 11:00:00,0.4414816666666664,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005333333333333336,0.0016366666666666678,0.18213,0.20351499999999995
House10,2018-06-03 12:00:00,0.30962333333333336,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004466666666666671,0.0016066666666666673,0.17658,0.11596999999999998
House10,2018-06-03 13:00:00,0.30478999999999995,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00044833333333333357,0.0016150000000000005,0.17420000000000002,0.11290833333333332
House10,2018-06-03 14:00:00,0.1730733333333333,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004350000000000002,0.0016300000000000006,0.03821166666666668,0.1163883333333333
House10,2018-06-03 15:00:00,0.15102666666666664,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00040333333333333367,0.0016016666666666675,0.020829999999999984,0.11217
House10,2018-06-03 16:00:00,0.27255,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004250000000000003,0.0016083333333333336,0.18267999999999995,0.07130333333333334
House10,2018-06-03 17:00:00,0.6191016666666667,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00039833333333333366,0.0015783333333333335,0.2252166666666667,0.37570166666666666
House10,2018-06-03 18:00:00,0.5823266666666667,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004750000000000002,0.0016866666666666655,0.27570333333333336,0.28778166666666666
House10,2018-06-03 19:00:00,0.6356733333333332,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005016666666666669,0.001673333333333332,0.32218500000000005,0.2943783333333333
House10,2018-06-03 20:00:00,0.610965,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004800000000000003,0.001598333333333334,0.21928833333333334,0.3731316666666665
House10,2018-06-03 21:00:00,0.5415966666666667,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004866666666666671,0.0016000000000000007,0.2171,0.3063683333333334
House10,2018-06-03 22:00:00,0.5655616666666666,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004333333333333336,0.0015733333333333337,0.2627283333333334,0.2850616666666667
House10,2018-06-03 23:00:00,0.5849183333333335,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004333333333333335,0.0015350000000000012,0.25020166666666666,0.3168700000000001
House10,2018-06-04 00:00:00,0.6032049999999998,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004850000000000004,0.001588333333333334,0.2524449999999999,0.3327633333333334
House10,2018-06-04 01:00:00,1.9556783333333327,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00023499999999999967,1.4042333333333332,0.23885666666666674,0.2957833333333333
