House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,Kitchen_kW,LR_kW,AC_BR_kW.1
House15,2018-06-01 19:00:00,0.2522716666666666,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.005165000000000003,0.06765333333333333,0.010855,0.00018333333333333334
House15,2018-06-01 20:00:00,0.5602266666666659,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0007633333333333332,0.14462999999999993,0.0267066666666666,0.0002883333333333334
House15,2018-06-01 21:00:00,2.022365,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.002805,0.5474116666666666,0.08352999999999998,0.0010983333333333329
House15,2018-06-01 22:00:00,3.3639300000000003,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.1562466666666666,0.510525,0.07579833333333326,0.001161666666666666
House15,2018-06-01 23:00:00,7.386651666666667,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.7776433333333332,0.5100583333333335,0.0005200000000000001,0.0016983333333333332
House15,2018-06-02 00:00:00,5.5383033333333325,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.4200450000000002,0.5066766666666668,0.0014699999999999995,0.0017066666666666664
House15,2018-06-02 01:00:00,5.146993333333332,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.2275700000000005,0.5020016666666667,0.0008566666666666668,0.0017799999999999992
House15,2018-06-02 02:00:00,4.37901,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.8867466666666665,0.550555,0.0013399999999999994,0.0016333333333333336
House15,2018-06-02 03:00:00,3.0415233333333336,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.6914399999999999,0.479095,0.0014450000000000005,0.0013366666666666663
House15,2018-06-02 04:00:00,3.6030650000000013,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.7613199999999996,0.4732833333333334,0.0014533333333333332,0.0016133333333333336
House15,2018-06-02 05:00:00,3.1772183333333333,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.7357316666666662,0.4732566666666666,0.00137,0.0015900000000000005
House15,2018-06-02 06:00:00,3.2625199999999994,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.7650100000000001,0.4676766666666667,0.0014783333333333337,0.0015783333333333333
House15,2018-06-02 07:00:00,3.1282,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.7263216666666669,0.333365,0.0016133333333333332,0.0015750000000000009
House15,2018-06-02 08:00:00,3.1649799999999995,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.7893549999999999,0.3065850000000001,0.0013833333333333328,0.0015666666666666672
