House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,UPS_kW,Refrigerator_kW
House5,2018-06-01 20:00:00,0.7133566666666665,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.03027166666666665,0.26228166666666664,0.18581333333333327
House5,2018-06-01 21:00:00,0.8661000000000001,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.03203000000000002,0.291325,0.3356616666666666
House5,2018-06-01 22:00:00,0.7805949999999998,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.031900000000000026,0.239065,0.2825233333333334
House5,2018-06-01 23:00:00,0.7951783333333332,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.031745000000000016,0.22416,0.29514166666666675
House5,2018-06-02 00:00:00,0.7241816666666665,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.031998333333333316,0.2374616666666667,0.23997166666666656
House5,2018-06-02 01:00:00,1.5581566666666664,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.0702466666666668,0.2052233333333334,0.24150666666666665
House5,2018-06-02 02:00:00,1.0662883333333333,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.3906983333333332,0.2601183333333333,0.2034
House5,2018-06-02 03:00:00,2.2073916666666658,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.5322633333333332,0.3811566666666665,0.3121183333333334
House5,2018-06-02 04:00:00,2.1213066666666682,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.8437416666666666,0.2845633333333334,0.2695116666666666
House5,2018-06-02 05:00:00,1.841548333333333,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.7389466666666668,0.14274499999999998,0.23934
House5,2018-06-02 06:00:00,1.5872549999999999,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.6827099999999999,0.11535499999999994,0.2383800000000001
House5,2018-06-02 07:00:00,1.5391016666666666,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.6581366666666667,0.11853833333333333,0.23408
House5,2018-06-02 08:00:00,1.055065,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.714435,0.1732216666666667,0.157125
House5,2018-06-02 09:00:00,1.21985,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.7444866666666667,0.1649116666666666,0.2998200000000002
House5,2018-06-02 10:00:00,0.7690133333333332,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.43469666666666623,0.17283166666666666,0.15161166666666667
House5,2018-06-02 11:00:00,0.5721133333333334,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.004683333333333335,0.2448550000000001,0.2701083333333333
House5,2018-06-02 12:00:00,0.5299700000000002,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.0014583333333333327,0.2321133333333333,0.1174949999999999
House5,2018-06-02 13:00:00,0.7473500000000002,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.0008916666666666666,0.42959500000000017,0.018785
House5,2018-06-02 14:00:00,0.18616000000000005,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,5.333333333333334e-05,0.1103,0.03705
House5,2018-06-02 15:00:00,1.3485516666666666,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.0008650000000000008,0.7096349999999998,0.22571
