House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,Kitchen_kW,AC_BR_kW,AC_BR_kW.1,AC_BR_kW.2
House23,2018-06-01 18:00:00,1.1070750000000005,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.3236183333333333,0.0018566666666666668,0.0006250000000000003,0.004045000000000001
House23,2018-06-01 19:00:00,0.7244483333333332,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.25466500000000003,0.2958733333333333,0.00027333333333333333,0.003911666666666668
House23,2018-06-01 20:00:00,1.5754216666666672,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.320265,1.2513816666666666,0.00027,0.003504999999999999
House23,2018-06-01 21:00:00,1.3078316666666665,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.3306416666666667,0.8406933333333332,0.00025333333333333306,0.0036383333333333337
House23,2018-06-01 22:00:00,1.8008533333333334,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.19731833333333326,0.6209833333333334,0.1906,0.5308933333333333
House23,2018-06-01 23:00:00,2.631770000000001,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.19027833333333333,0.4426033333333333,0.5593283333333334,0.6408400000000001
House23,2018-06-02 00:00:00,2.28132,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.06510833333333334,0.4513683333333332,0.4907416666666666,0.4570216666666666
House23,2018-06-02 01:00:00,2.0564150000000003,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.050239999999999986,0.445605,0.3758950000000001,0.3986016666666667
House23,2018-06-02 02:00:00,1.3762816666666668,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.11795333333333333,0.4235883333333334,0.1224966666666667,0.3855016666666666
House23,2018-06-02 03:00:00,1.3324000000000005,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.09734166666666667,0.4193383333333332,0.02091166666666666,0.3769583333333333
House23,2018-06-02 04:00:00,1.0561683333333332,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.05860166666666666,0.3509566666666665,0.020486666666666657,0.3727599999999999
House23,2018-06-02 05:00:00,1.1570349999999998,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.04924666666666667,0.408025,0.021601666666666675,0.370425
House23,2018-06-02 06:00:00,1.0984383333333332,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.052753333333333326,0.3349916666666666,0.021663333333333337,0.3700483333333333
House23,2018-06-02 07:00:00,1.4286733333333332,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.10534666666666667,0.23442666666666664,0.13365999999999995,0.3479016666666669
House23,2018-06-02 08:00:00,1.3055783333333326,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.1594033333333333,0.30931,0.0003416666666666669,0.3911700000000001
House23,2018-06-02 09:00:00,0.9599183333333332,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.10689333333333334,0.3076033333333333,0.0004500000000000002,0.4497349999999999
House23,2018-06-02 10:00:00,0.7819199999999998,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.07192166666666666,0.475875,0.0013583333333333342,0.022008333333333387
House23,2018-06-02 11:00:00,0.9218999999999998,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.10605333333333332,0.3674466666666668,0.0012849999999999995,0.0036833333333333327
House23,2018-06-02 12:00:00,0.64955,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.09581,0.5428733333333333,0.000626666666666667,0.0034833333333333305
House23,2018-06-02 13:00:00,0.7581683333333333,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.11912333333333333,0.33415166666666657,0.0009466666666666664,0.00352
House23,2018-06-02 14:00:00,0.6888883333333333,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.187535,0.0005566666666666668,0.0010766666666666667,0.0037566666666666673
House23,2018-06-02 15:00:00,0.3760516666666668,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.2720133333333334,0.0007449999999999997,0.0004049999999999997,0.003911666666666665
House23,2018-06-02 16:00:00,0.486115,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.3597699999999999,0.0016450000000000006,0.0002566666666666667,0.004441666666666665
House23,2018-06-02 17:00:00,0.5833733333333335,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.2502300000000001,0.0016250000000000008,0.00029166666666666675,0.004335
House23,2018-06-02 18:00:00,0.8851616666666666,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.25874666666666674,0.002216666666666667,0.0005066666666666666,0.0044416666666666675
House23,2018-06-02 19:00:00,0.4719316666666668,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.2510449999999999,0.0012933333333333336,0.000185,0.004170000000000001
House23,2018-06-02 20:00:00,0.2645200000000001,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.2581516666666668,0.0012916666666666658,0.0001766666666666665,0.004166666666666668
House23,2018-06-02 21:00:00,0.31819166666666665,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.30066,0.0013333333333333335,9.83333333333334e-05,0.004209999999999996
House23,2018-06-02 22:00:00,0.3601133333333335,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.21079999999999985,0.14259666666666665,0.00010999999999999995,0.0035150000000000003
House23,2018-06-02 23:00:00,2.3407516666666672,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.13191000000000005,0.7499733333333335,0.412815,0.5355399999999999
House23,2018-06-03 00:00:00,2.629805,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.1235616666666667,0.4603633333333334,0.7439766666666668,0.4666966666666667
House23,2018-06-03 01:00:00,2.3551599999999997,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.08340666666666666,0.45346000000000003,0.5758366666666667,0.4044683333333333
House23,2018-06-03 02:00:00,2.260978333333333,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.12422333333333332,0.4514266666666667,0.5298466666666666,0.3960833333333333
House23,2018-06-03 03:00:00,2.1610549999999997,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.09794666666666668,0.4365183333333332,0.470515,0.3897383333333331
House23,2018-06-03 04:00:00,1.4659449999999994,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.04279999999999999,0.3920916666666666,0.21145833333333328,0.3831066666666666
House23,2018-06-03 05:00:00,0.9684483333333332,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.04711166666666666,0.3310950000000001,0.019073333333333338,0.37956999999999996
House23,2018-06-03 06:00:00,1.5343349999999998,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.04375333333333331,0.051650000000000015,0.313715,0.3834766666666667
House23,2018-06-03 07:00:00,1.4733383333333332,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.05158833333333334,0.0011899999999999992,0.27752666666666664,0.3978666666666668
House23,2018-06-03 08:00:00,0.7997616666666667,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.09895,0.03302666666666667,0.01711166666666666,0.4147266666666666
House23,2018-06-03 09:00:00,1.4212416666666663,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.05728666666666667,0.6387299999999997,0.16445333333333334,0.4357283333333333
House23,2018-06-03 10:00:00,1.304475,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.14138833333333334,0.7364799999999999,0.07362833333333335,0.34893166666666675
