House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,UPS_kW,AC_LR_kW,Kitchen_kW,AC_MBR_kW
House7,2018-06-01 18:00:00,1.22345,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.5584816666666665,0.005301666666666664,0.2313766666666668,0.0015916666666666677
House7,2018-06-01 19:00:00,0.8324933333333332,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.5287716666666666,0.005128333333333331,0.18449000000000002,0.001455
House7,2018-06-01 20:00:00,0.8003049999999999,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.42054333333333344,0.005049999999999996,0.2506916666666667,0.001316666666666666
House7,2018-06-01 21:00:00,0.8246100000000001,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4499583333333332,0.005211666666666666,0.19120500000000004,0.001356666666666667
House7,2018-06-01 22:00:00,2.562828333333334,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3942466666666665,0.004999999999999996,0.17620833333333333,0.0009483333333333336
House7,2018-06-01 23:00:00,3.8357050000000004,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3116266666666665,0.004985000000000001,0.16787333333333335,0.0005716666666666666
House7,2018-06-02 00:00:00,3.8198216666666656,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3493516666666667,0.005038333333333336,0.16370999999999994,0.000523333333333333
House7,2018-06-02 01:00:00,3.846208333333335,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3306950000000001,0.004915,0.15831833333333334,0.0004433333333333333
House7,2018-06-02 02:00:00,3.4526266666666663,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3668633333333332,0.005205000000000004,0.21793000000000007,0.0003416666666666665
House7,2018-06-02 03:00:00,3.00638,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4057533333333334,0.005114999999999997,0.17845499999999995,0.00032999999999999984
House7,2018-06-02 04:00:00,3.064748333333333,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3361933333333333,0.00498,0.1579233333333333,0.0005133333333333332
House7,2018-06-02 05:00:00,2.7442266666666666,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3635283333333333,0.005069999999999999,0.15798666666666664,0.0006266666666666671
House7,2018-06-02 06:00:00,2.8554733333333338,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.34456166666666665,0.00506,0.15683,0.0005200000000000001
House7,2018-06-02 07:00:00,2.788733333333334,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.31982666666666665,0.004936666666666668,0.1534283333333334,0.0004866666666666665
House7,2018-06-02 08:00:00,2.9817366666666665,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3129699999999999,0.0047900000000000035,0.15020999999999998,0.0004766666666666666
House7,2018-06-02 09:00:00,2.9569283333333343,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4649299999999999,0.005001666666666667,0.15208833333333338,0.0008033333333333334
House7,2018-06-02 10:00:00,2.4766833333333333,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4767383333333333,0.0051299999999999965,0.15217999999999998,0.0006666666666666671
House7,2018-06-02 11:00:00,2.957355,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4582166666666668,0.0052416666666666644,0.15242833333333333,0.00015166666666666665
House7,2018-06-02 12:00:00,1.0301983333333329,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4488816666666666,0.004886666666666668,0.15043666666666672,0.0012600000000000007
House7,2018-06-02 13:00:00,0.8496116666666667,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4502933333333333,0.004991666666666668,0.15850999999999998,0.0011700000000000011
House7,2018-06-02 14:00:00,1.137351666666666,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4299649999999999,0.005526666666666668,0.3016033333333333,0.0013199999999999991
House7,2018-06-02 15:00:00,2.645378333333334,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4273016666666668,0.00508666666666667,0.2763016666666668,0.0009000000000000002
House7,2018-06-02 16:00:00,3.418505000000001,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.5103849999999999,0.004655000000000001,0.18922,0.0008099999999999997
House7,2018-06-02 17:00:00,1.8353866666666672,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.41188,0.004866666666666668,0.18458666666666665,0.0009699999999999996
House7,2018-06-02 18:00:00,0.7144533333333334,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3933066666666668,0.00529333333333333,0.22081,0.001258333333333333
House7,2018-06-02 19:00:00,0.6198766666666665,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.2874333333333334,0.005181666666666665,0.19979833333333333,0.0012949999999999995
House7,2018-06-02 20:00:00,0.8206200000000001,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3955216666666667,0.00520333333333333,0.20731500000000005,0.0012533333333333322
House7,2018-06-02 21:00:00,0.9195616666666666,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3820716666666667,0.005218333333333335,0.1881683333333334,0.0012349999999999998
House7,2018-06-02 22:00:00,3.9141333333333335,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.28249,0.005003333333333335,0.17480666666666664,0.0008199999999999994
House7,2018-06-02 23:00:00,4.190793333333333,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3296683333333333,0.0049883333333333325,0.17015833333333336,0.0006583333333333333
House7,2018-06-03 00:00:00,4.0035533333333335,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.29859,0.004966666666666664,0.16430499999999995,0.0006633333333333338
House7,2018-06-03 01:00:00,3.6838000000000006,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3308,0.0051483333333333355,0.16255833333333328,0.0004850000000000001
House7,2018-06-03 02:00:00,3.4446700000000003,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.453075,0.005413333333333335,0.23839000000000002,0.0005900000000000001
House7,2018-06-03 03:00:00,3.389488333333333,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3439766666666668,0.0051483333333333355,0.16255000000000006,0.0006200000000000001
House7,2018-06-03 04:00:00,3.0568733333333333,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3028416666666667,0.0051099999999999965,0.15739999999999993,0.0005950000000000003
House7,2018-06-03 05:00:00,2.7422383333333338,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3072233333333333,0.005146666666666665,0.15617833333333336,0.000761666666666667
House7,2018-06-03 06:00:00,2.7564083333333333,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.332,0.005134999999999998,0.15477000000000002,0.0007799999999999997
House7,2018-06-03 07:00:00,2.7984233333333326,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3262683333333333,0.005026666666666668,0.15208166666666667,0.0006616666666666665
House7,2018-06-03 08:00:00,2.9341116666666647,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.32506999999999986,0.005045,0.15144166666666664,0.0006483333333333332
House7,2018-06-03 09:00:00,3.0802016666666665,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.2941983333333333,0.004976666666666666,0.14975999999999995,0.0005716666666666664
House7,2018-06-03 10:00:00,1.1896266666666666,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.33865166666666663,0.005008333333333335,0.15090833333333334,0.0011699999999999998
House7,2018-06-03 11:00:00,0.7682866666666666,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.42028999999999994,0.0050833333333333355,0.17727166666666666,0.0013116666666666676
House7,2018-06-03 12:00:00,0.7723600000000003,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4794166666666666,0.004598333333333335,0.08340499999999999,0.0010616666666666658
House7,2018-06-03 13:00:00,0.5874433333333333,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.1952,0.0010616666666666665,0.030894999999999968,0.0011033333333333331
House7,2018-06-03 14:00:00,0.7436366666666667,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.19152999999999992,0.0014750000000000006,0.11375833333333332,0.0012649999999999994
