House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS
House12,2018-06-01 00:00:00,0.0017899999999999988,2722.51,1,2000,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,4,1,1,5,7,0,2,1,29,0
House12,2018-06-01 01:00:00,0.001808333333333332,2722.51,1,2000,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,4,1,1,5,7,0,2,1,29,0
House12,2018-06-01 02:00:00,0.002020000000000001,2722.51,1,2000,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,4,1,1,5,7,0,2,1,29,0
House12,2018-06-01 03:00:00,0.0028216666666666685,2722.51,1,2000,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,4,1,1,5,7,0,2,1,29,0
House12,2018-06-01 04:00:00,0.0025183333333333355,2722.51,1,2000,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,4,1,1,5,7,0,2,1,29,0
House12,2018-06-01 05:00:00,0.0025433333333333336,2722.51,1,2000,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,4,1,1,5,7,0,2,1,29,0
House12,2018-06-01 06:00:00,0.0025083333333333355,2722.51,1,2000,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,4,1,1,5,7,0,2,1,29,0
House12,2018-06-01 07:00:00,0.0023183333333333315,2722.51,1,2000,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,4,1,1,5,7,0,2,1,29,0
House12,2018-06-01 08:00:00,0.002536666666666665,2722.51,1,2000,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,4,1,1,5,7,0,2,1,29,0
House12,2018-06-01 09:00:00,0.0022866666666666647,2722.51,1,2000,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,4,1,1,5,7,0,2,1,29,0
